prefecture,population,population_thousands
北海道,5041491,5041.491
青森県,1164710,1164.710
岩手県,1144407,1144.407
宮城県,2247139,2247.139
秋田県,896324,896.324
山形県,1010776,1010.776
福島県,1742317,1742.317
茨城県,2810049,2810.049
栃木県,1882342,1882.342
群馬県,1889425,1889.425
埼玉県,7329258,7329.258
千葉県,6275423,6275.423
東京都,14192184,14192.184
神奈川県,9223695,9223.695
新潟県,2098804,2098.804
富山県,995955,995.955
石川県,1098531,1098.531
福井県,738691,738.691
山梨県,790215,790.215
長野県,1988462,1988.462
岐阜県,1913076,1913.076
静岡県,3524160,3524.160
愛知県,7465250,7465.250
三重県,1711370,1711.370
滋賀県,1400812,1400.812
京都府,2521262,2521.262
大阪府,8770315,8770.315
兵庫県,5336665,5336.665
奈良県,1285094,1285.094
和歌山県,879617,879.617
鳥取県,531085,531.085
島根県,641396,641.396
岡山県,1830621,1830.621
広島県,2716733,2716.733
山口県,1279601,1279.601
徳島県,685357,685.357
香川県,917058,917.058
愛媛県,1275349,1275.349
高知県,655698,655.698
福岡県,5097710,5097.710
佐賀県,787675,787.675
長崎県,1250705,1250.705
熊本県,1696144,1696.144
大分県,1085198,1085.198
宮崎県,1031344,1031.344
鹿児島県,1530203,1530.203
沖縄県,1467065,1467.065